id_entrega,fecha_hora_salida,fecha_hora_llegada,ruta,piloto,carga_kg,region,estado_entrega
1,2025-03-06 02:23:21,2025-03-06 05:23:21,Este,María,100,GBA,Cancelada
2,2025-06-15 10:23:15,2025-06-15 12:23:15,Norte,Carlos,106,GBA,A tiempo
3,2025-01-15 06:14:39,2025-01-15 08:14:39,Central,Lucía,111,Luján,A tiempo
4,2025-03-24 09:53:29,2025-03-24 14:53:29,Sur,María,329,Luján,A tiempo
5,2025-08-03 12:12:13,2025-08-03 13:12:13,Central,Lucía,347,Luján,A tiempo
6,2025-05-22 10:38:02,2025-05-22 19:38:02,Norte,Carlos,86,La Plata,A tiempo
7,2025-08-07 17:19:45,2025-08-08 01:19:45,Sur,Miguel,396,CABA,A tiempo
8,2025-03-15 11:05:17,2025-03-15 17:05:17,Oeste,Juan,412,Luján,A tiempo
9,2025-09-04 19:48:39,2025-09-04 22:48:39,Central,María,140,Moreno,A tiempo
10,2024-12-04 18:31:39,2024-12-04 21:31:39,Oeste,Lucía,227,Moreno,Retrasada
11,2025-04-12 01:57:53,2025-04-12 07:57:53,Norte,Carlos,317,La Plata,Retrasada
12,2024-10-22 21:13:50,2024-10-22 23:13:50,Central,Carlos,59,La Plata,A tiempo
13,2025-03-30 23:31:32,2025-03-31 02:31:32,Norte,Carlos,280,La Plata,A tiempo
14,2024-10-22 06:41:21,2024-10-22 16:41:21,Central,María,217,CABA,Cancelada
15,2025-04-23 09:43:07,2025-04-23 12:43:07,Oeste,Lucía,497,Luján,A tiempo
16,2025-01-06 20:59:11,2025-01-07 01:59:11,Oeste,Lucía,261,La Plata,A tiempo
17,2025-06-02 18:03:32,2025-06-02 22:03:32,Central,Lucía,345,CABA,Retrasada
18,2024-12-04 22:26:55,2024-12-05 00:26:55,Oeste,Lucía,447,Luján,A tiempo
19,2025-02-14 20:00:56,2025-02-15 04:00:56,Central,Carlos,162,Luján,A tiempo
20,2025-08-10 01:45:05,2025-08-10 09:45:05,Norte,Carlos,210,La Plata,Retrasada
21,2025-03-07 21:19:06,2025-03-08 04:19:06,Sur,Juan,203,Moreno,Retrasada
22,2025-08-21 20:58:29,2025-08-21 22:58:29,Este,Lucía,223,Moreno,Retrasada
23,2025-05-11 11:10:04,2025-05-11 19:10:04,Sur,María,458,La Plata,A tiempo
24,2025-02-01 15:00:48,2025-02-01 20:00:48,Sur,carlos,354,Luján,A tiempo
25,2024-11-27 11:27:26,2024-11-27 17:27:26,Norte,María,71,CABA,Retrasada
26,2025-04-17 17:24:47,2025-04-18 02:24:47,Sur,Lucía,270,Luján,A tiempo
27,2025-01-29 07:42:12,2025-01-29 14:42:12,Este,Lucía,279,GBA,Retrasada
28,2025-03-03 08:00:51,2025-03-03 16:00:51,Central,Carlos,76,La Plata,A tiempo
29,2025-04-03 02:36:40,2025-04-03 08:36:40,Este,Miguel,477,La Plata,Retrasada
30,2025-01-16 15:11:37,2025-01-17 01:11:37,Oeste,Miguel,186,Luján,A tiempo
31,2025-09-10 06:22:16,2025-09-10 12:22:16,Sur,Miguel,350,GBA,Retrasada
32,2025-02-17 03:16:07,2025-02-17 11:16:07,Oeste,Miguel,310,GBA,A tiempo
33,2024-12-28 08:07:33,2024-12-28 09:07:33,Norte,Lucía,203,Moreno,A tiempo
34,2025-03-02 18:14:08,2025-03-02 19:14:08,Norte,Juan,204,GBA,Retrasada
35,2024-10-27 23:38:03,2024-10-28 09:38:03,Sur,María,429,Moreno,Retrasada
36,2024-11-05 03:02:54,2024-11-05 12:02:54,Este,Juan,489,La Plata,A tiempo
37,2024-10-25 01:19:38,2024-10-25 04:19:38,Oeste,Lucía,441,Luján,Retrasada
38,2025-04-24 13:36:45,2025-04-24 23:36:45,Central,Carlos,464,CABA,A tiempo
39,2024-10-24 08:08:30,2024-10-24 09:08:30,Norte,María,225,CABA,A tiempo
40,2024-11-20 18:07:05,2024-11-21 02:07:05,Este,Miguel,150,GBA,Retrasada
41,2024-12-11 00:23:39,2024-12-11 10:23:39,Este,Carlos,90,La Plata,A tiempo
42,2025-03-16 04:14:56,2025-03-16 13:14:56,Norte,Carlos,446,Luján,A tiempo
43,2024-11-18 07:48:37,2024-11-18 13:48:37,Central,Lucía,274,La Plata,A tiempo
44,2025-08-10 15:11:59,2025-08-10 23:11:59,Sur,Carlos,212,CABA,A tiempo
45,2024-12-30 01:12:46,2024-12-30 04:12:46,Este,Miguel,267,GBA,A tiempo
46,2025-03-16 07:21:50,2025-03-16 08:21:50,Oeste,Carlos,167,GBA,A tiempo
47,2025-03-28 23:42:32,2025-03-29 07:42:32,Este,María,313,Luján,A tiempo
48,2025-03-17 10:18:21,2025-03-17 11:18:21,Central,Miguel,103,Moreno,A tiempo
49,2024-12-06 18:21:37,2024-12-07 04:21:37,Norte,Lucía,498,La Plata,A tiempo
50,2025-03-10 12:55:55,2025-03-10 19:55:55,Oeste,Carlos,145,CABA,A tiempo
51,2024-10-20 22:41:43,2024-10-21 08:41:43,Central,Miguel,458,La Plata,Cancelada
52,2024-09-30 16:39:38,2024-10-01 00:39:38,Este,María,122,Luján,A tiempo
53,2024-12-19 16:58:51,2024-12-19 18:58:51,Oeste,Miguel,415,Moreno,A tiempo
54,2025-08-24 08:39:46,2025-08-24 09:39:46,Sur,Lucía,422,GBA,Retrasada
55,2025-07-16 18:19:25,2025-07-17 03:19:25,Norte,Lucía,69,GBA,A tiempo
56,2024-09-19 21:53:19,2024-09-20 02:53:19,Sur,Juan,145,GBA,Retrasada
57,2025-01-09 12:25:34,2025-01-09 19:25:34,Sur,Juan,422,Moreno,Cancelada
58,2025-02-02 16:04:58,2025-02-02 21:04:58,Sur,Carlos,379,CABA,Cancelada
59,2025-07-16 23:06:53,2025-07-17 05:06:53,Este,Miguel,477,GBA,Retrasada
60,2025-06-15 00:46:55,2025-06-15 09:46:55,Norte,Miguel,179,Luján,A tiempo
61,2025-03-09 12:10:52,2025-03-09 21:10:52,Norte,María,58,CABA,A tiempo
62,2025-06-24 16:12:46,2025-06-24 22:12:46,Oeste,María,423,GBA,A tiempo
63,2025-04-23 01:13:13,2025-04-23 06:13:13,Oeste,Lucía,55,La Plata,Cancelada
64,2025-07-20 19:41:27,2025-07-21 02:41:27,Oeste,Lucía,355,GBA,Retrasada
65,2025-07-20 22:00:35,2025-07-21 07:00:35,Sur,María,162,Moreno,Retrasada
66,2025-07-15 02:34:25,2025-07-15 11:34:25,Este,Lucía,202,CABA,A tiempo
67,2025-08-01 16:02:04,2025-08-01 19:02:04,Este,María,442,Moreno,A tiempo
68,2024-10-18 08:01:04,2024-10-18 14:01:04,Este,María,385,Luján,Retrasada
69,2025-09-10 19:52:45,2025-09-10 21:52:45,Central,Lucía,157,GBA,A tiempo
70,2024-11-20 03:45:23,2024-11-20 07:45:23,Oeste,Juan,228,GBA,A tiempo
71,2024-12-26 21:02:14,2024-12-27 04:02:14,Oeste,Juan,319,CABA,A tiempo
72,2025-02-16 18:13:42,2025-02-17 01:13:42,Norte,María,291,CABA,Retrasada
73,2025-04-24 15:33:54,2025-04-25 00:33:54,Norte,María,429,GBA,Cancelada
74,2025-09-07 17:50:41,2025-09-07 20:50:41,Central,Lucía,52,Moreno,Retrasada
75,2025-05-23 19:25:34,2025-05-24 02:25:34,Central,Lucía,441,GBA,A tiempo
76,2025-07-26 06:18:12,2025-07-26 08:18:12,Central,Carlos,442,Luján,A tiempo
77,2025-05-27 16:07:38,2025-05-28 02:07:38,Oeste,Lucía,305,CABA,A tiempo
78,2025-03-16 22:01:11,2025-03-17 06:01:11,Este ,Miguel,330,GBA,Retrasada
79,2025-04-11 03:54:23,2025-04-11 08:54:23,Norte,Carlos,288,La Plata,A tiempo
80,2025-01-31 10:32:52,2025-01-31 11:32:52,Central,Carlos,463,GBA,A tiempo
81,2024-12-25 11:32:03,2024-12-25 20:32:03,Central,Miguel,466,CABA,A tiempo
82,2025-06-07 07:46:42,2025-06-07 12:46:42,Sur,Lucía,365,Moreno,A tiempo
83,2025-09-08 11:56:52,2025-09-08 12:56:52,Central,Carlos,77,GBA,A tiempo
84,2025-03-27 10:25:40,2025-03-27 11:25:40,Este,Juan,240,GBA,A tiempo
85,2025-09-02 16:33:47,2025-09-02 17:33:47,Este ,María,229,Moreno,A tiempo
86,2025-04-15 20:51:34,2025-04-16 03:51:34,Central,Miguel,262,GBA,A tiempo
87,2025-07-09 23:36:49,2025-07-10 03:36:49,Central ,Juan,372,Moreno,Retrasada
88,2025-08-15 23:10:48,2025-08-16 08:10:48,Sur,Miguel,296,CABA,Retrasada
89,2025-02-14 14:06:41,2025-02-15 00:06:41,Norte,María,287,La Plata,A tiempo
90,2025-05-16 03:03:47,2025-05-16 13:03:47,Oeste,Miguel,62,CABA,Retrasada
91,2025-01-28 06:43:58,2025-01-28 15:43:58,Sur,Carlos,157,CABA,Retrasada
92,2025-07-16 12:19:07,2025-07-16 21:19:07,Oeste,Carlos,273,Luján,Cancelada
93,2025-06-19 12:01:00,2025-06-19 15:01:00,Central,Miguel,428,Moreno,Retrasada
94,2024-10-01 23:25:40,2024-10-02 06:25:40,Sur,Juan,286,Moreno,A tiempo
95,2024-12-22 02:54:24,2024-12-22 06:54:24,Oeste,Carlos,389,Luján,Cancelada
96,2025-06-04 05:46:52,2025-06-04 08:46:52,Central,Carlos,301,CABA,Retrasada
97,2025-02-04 16:19:37,2025-02-05 02:19:37,Este,Miguel,160,Moreno,A tiempo
98,2025-03-04 08:22:52,2025-03-04 10:22:52,Oeste,Miguel,378,La Plata,A tiempo
99,2025-02-08 11:27:57,2025-02-08 17:27:57,Este,Miguel,235,GBA,A tiempo
100,2025-02-23 11:04:07,2025-02-23 19:04:07,Norte,Miguel,110,CABA,A tiempo
101,2025-02-11 15:53:30,2025-02-11 19:53:30,Oeste,Miguel,217,CABA,A tiempo
102,2025-07-14 07:16:46,2025-07-14 10:16:46,Este,Lucía,237,Luján,A tiempo
103,2025-06-17 04:02:13,2025-06-17 07:02:13,Oeste,Miguel,51,La Plata,A tiempo
104,2025-09-15 06:09:44,2025-09-15 16:09:44,Central,Lucía,146,Luján,Retrasada
105,2024-10-29 09:03:34,2024-10-29 16:03:34,Sur ,Juan,460,Luján,A tiempo
106,2024-12-06 18:11:10,2024-12-06 20:11:10,Oeste,María,58,Luján,A tiempo
107,2025-01-25 08:33:09,2025-01-25 13:33:09,Sur,María,274,La Plata,A tiempo
108,2025-06-06 07:39:09,2025-06-06 14:39:09,Este,Miguel,375,La Plata,A tiempo
109,2025-09-08 02:52:33,2025-09-08 11:52:33,Central,Juan,150,Luján,A tiempo
110,2024-11-03 23:34:32,2024-11-04 06:34:32,Norte,Juan,389,CABA,Retrasada
111,2025-05-18 04:25:13,2025-05-18 11:25:13,Sur,Carlos,173,Luján,A tiempo
112,2025-02-25 23:25:08,2025-02-26 03:25:08,Sur,Miguel,296,Luján,A tiempo
113,2025-03-18 22:27:51,2025-03-19 08:27:51,Sur,María,358,CABA,A tiempo
114,2025-05-22 07:27:46,2025-05-22 11:27:46,Este,Juan,232,CABA,A tiempo
115,2025-02-09 23:18:43,2025-02-10 05:18:43,Central,Miguel,275,GBA,A tiempo
116,2025-02-06 19:15:39,2025-02-06 20:15:39,Oeste,María,378,GBA,A tiempo
117,2025-03-08 15:50:56,2025-03-09 01:50:56,Oeste,Juan,230,GBA,A tiempo
118,2024-10-20 15:38:11,2024-10-20 23:38:11,Central,Lucía,389,Luján,A tiempo
119,2025-07-04 02:27:38,2025-07-04 08:27:38,Sur,Miguel,73,GBA,A tiempo
120,2024-10-11 21:13:53,2024-10-12 00:13:53,Este,Juan,195,Luján,A tiempo
